"school_name","has_nces_key","has_geometry"
"ARBUTUS MIDDLE","TRUE","TRUE"
"CATONSVILLE MIDDLE","TRUE","TRUE"
"COCKEYSVILLE MIDDLE","TRUE","TRUE"
"DEEP CREEK MIDDLE","TRUE","TRUE"
"DEER PARK MIDDLE MAGNET SCHOOL","TRUE","TRUE"
"DUMBARTON MIDDLE","TRUE","TRUE"
"DUNDALK MIDDLE","TRUE","TRUE"
"FRANKLIN MIDDLE","TRUE","TRUE"
"GENERAL JOHN STRICKER MIDDLE","TRUE","TRUE"
"GOLDEN RING MIDDLE","TRUE","TRUE"
"HEREFORD MIDDLE","TRUE","TRUE"
"HOLABIRD MIDDLE","TRUE","TRUE"
"LANSDOWNE MIDDLE","TRUE","TRUE"
"LOCH RAVEN TECHNICAL ACADEMY","TRUE","TRUE"
"MEADOWOOD EDUCATION CENTER","TRUE","FALSE"
"MIDDLE RIVER MIDDLE","TRUE","TRUE"
"NORTHWEST ACADEMY OF HEALTH SCIENCES","TRUE","FALSE"
"OLD COURT MIDDLE","FALSE","TRUE"
"PARKVILLE MIDDLE","TRUE","TRUE"
"PERRY HALL MIDDLE","TRUE","TRUE"
"PIKESVILLE MIDDLE","TRUE","TRUE"
"PINE GROVE MIDDLE","TRUE","TRUE"
"RIDGELY MIDDLE","TRUE","TRUE"
"SOUTHWEST ACADEMY","TRUE","TRUE"
"SPARROWS POINT MIDDLE","TRUE","TRUE"
"STEMMERS RUN MIDDLE","TRUE","TRUE"
"SUDBROOK MAGNET MIDDLE","TRUE","FALSE"
"WOODLAWN MIDDLE","TRUE","TRUE"
